OperationGroupEN,PropertyNameEN,OperatorOwnersEN,ProvincesEN,CommoditiesEN,DevelopmentStageEN,ActivityStatusEN,Latitude,Longitude,Website,OBJECTID
"Mines and other primary producing sites","Rabbit Lake","Cameco Corporation","Saskatchewan","Uranium","Past producer","On hold / suspended",58.19892,-103.71697,"https://www.cameco.com/",190
"Mines and other primary producing sites","McClean Lake Mine","Orano Canada Inc. / Denison Mines Corp.","Saskatchewan","Uranium","Mine","Active",58.2577,-103.8691,"https://denisonmines.com/",191
"Mines and other primary producing sites","Wynyard (Big Quill)","Compass Minerals","Saskatchewan","Potash","Mine","Active",51.780628,-104.319916,"https://www.compassminerals.com",192
"Mines and other primary producing sites","Cigar Lake","Cameco Corporation","Saskatchewan","Uranium","Mine","Active",58.06819,-104.54123,"https://www.cameco.com/",193
"Mines and other primary producing sites","McArthur River","Cameco Corporation","Saskatchewan","Uranium","Mine","Active",57.7637,-105.053,"https://www.cameco.com/",194
"Mines and other primary producing sites","Belle Plaine","The Mosaic Company","Saskatchewan","Potash, salt","Mine","Active",50.435626,-105.181423,"https://mosaicincanada.com/",195
"Mines and other primary producing sites","Lanigan","Nutrien Ltd.","Saskatchewan","Potash","Mine","Active",51.853044,-105.205794,"https://www.nutrien.com",196
"Mines and other primary producing sites","Bethune","K+S Potash Canada","Saskatchewan","Potash","Mine","Active",50.62917,-105.26167,"https://www.ks-potashcanada.com",197
"Mines and other primary producing sites","Colonsay","The Mosaic Company","Saskatchewan","Potash","Mine","Active",51.934163,-105.765382,"https://mosaicincanada.com/",198
"Mines and other primary producing sites","Allan","Nutrien Ltd.","Saskatchewan","Potash","Mine","Active",51.93062,-106.068974,"https://www.nutrien.com",199
"Mines and other primary producing sites","Patience Lake","Nutrien Ltd.","Saskatchewan","Potash","Mine","Active",52.089362,-106.376992,"https://www.nutrien.com",200
"Mines and other primary producing sites","Cory","Nutrien Ltd.","Saskatchewan","Potash","Mine","Active",52.092027,-106.859358,"https://www.nutrien.com",201
"Mines and other primary producing sites","Mankota","North American Helium Inc.","Saskatchewan","Helium","Well(s) and/or plant","Active",49.37296,-107.01266,"https://nahelium.com/",202
"Mines and other primary producing sites","Vanscoy","Nutrien Ltd.","Saskatchewan","Potash, salt","Mine","Active",52.01,-107.08,"https://www.nutrien.com",203
"Mines and other primary producing sites","Cadillac","North American Helium Inc.","Saskatchewan","Helium","Well(s) and/or plant","Active",49.7702,-107.408,"https://nahelium.com/",204
"Mines and other primary producing sites","Wilhelm","Canadian Helium Inc.","Saskatchewan","Helium","Well(s) and/or plant","Active",50.41543,-107.86933,"Not available/Pas disponible",205
"Mines and other primary producing sites","Antelope Lake","North American Helium Inc.","Saskatchewan","Helium","Well(s) and/or plant","Active",50.338096,-108.160656,"https://nahelium.com/",206
"Mines and other primary producing sites","Eastend","North American Helium Inc.","Saskatchewan","Helium","Well(s) and/or plant","Active",49.46264,-108.91001,"https://nahelium.com/",207
"Mines and other primary producing sites","Battle Creek S","North American Helium Inc.","Saskatchewan","Helium","Well(s) and/or plant","Active",49.16964,-109.40412,"https://nahelium.com/",208
"Mines and other primary producing sites","Battle Creek-Cypress","North American Helium Inc.","Saskatchewan","Helium","Well(s) and/or plant","Active",49.4337,-109.429,"https://nahelium.com/",209
"Mines and other primary producing sites","Battle Creek","North American Helium Inc.","Saskatchewan","Helium","Well(s) and/or plant","Active",49.25252,-109.52308,"https://nahelium.com/",210
"Mines and other primary producing sites","Knappen","Thor Resources Inc.","Alberta","Helium","Well(s) and/or plant","Active",49.070095,-111.433613,"https://www.thorres.com",218
"Mines and other primary producing sites","Steveville","Royal Helium Ltd. ","Alberta","Helium","Well(s) and/or plant","Active",50.7136,-111.860024,"https://royalheliumltd.com",219
"Mines and other primary producing sites","Mount Brussilof","Baymag Inc.","British Columbia","Magnesite (fused), magnesia (products)","Mine","Active",50.7887,-115.683,"https://www.baymag.com/",255
"Mines and other primary producing sites","New Afton","New Gold Inc.","British Columbia","Gold, copper, silver","Mine","Active",50.661,-120.514,"https://newgold.com",256
"Mines and other primary producing sites","Copper Mountain","Hudbay Minerals Inc.","British Columbia","Copper, gold, silver","Mine","Active",49.331,-120.533,"https://hudbayminerals.com",257
"Mines and other primary producing sites","Highland Valley","Teck Resources Limited","British Columbia","Copper, silver, molybdenum","Mine","Active",50.4855,-121.0483,"https://www.teck.com/",258
"Mines and other primary producing sites","Mount Polley","Imperial Metals Corporation","British Columbia","Gold, copper, silver","Mine","Active",52.544959,-121.633931,"https://imperialmetals.com",259
"Mines and other primary producing sites","Gibraltar","Taseko Mines Limited","British Columbia","Copper, molybdenum, silver","Mine","Active",52.528495,-122.28716,"https://www.tasekomines.com",260
"Mines and other primary producing sites","Mount Milligan","Centerra Gold Inc.","British Columbia","Copper, gold, silver","Mine","Active",55.118,-124.031,"https://www.centerragold.com",261
"Mines and other primary producing sites","Endako","Centerra Gold Inc.","British Columbia","Molybdenum","Past producer","On hold / suspended",54.04417,-125.13278,"https://www.centerragold.com",262
"Mines and other primary producing sites","Myra Falls","Trafigura Mining Group","British Columbia","Zinc, copper, silver, gold, lead","Past producer","On hold / suspended",49.57,-125.59,"https://www.trafigura.com",263
"Mines and other primary producing sites","Huckleberry","Imperial Metals Corporation","British Columbia","Copper, molybdenum","Past producer","On hold / suspended",53.67972,-127.17333,"https://imperialmetals.com",264
"Mines and other primary producing sites","Red Chris","Newmont Corporation","British Columbia","Gold, copper, silver","Mine","Active",57.7,-129.78333,"https://newmont.com/",265
"Mines and other primary producing sites","Keno Hill Silver District","Hecla Mining Company","Yukon","Silver, zinc, lead","Mine","Active",63.9167,-135.4833,"https://www.hecla.com/",279
"Mines and other primary producing sites","Cantung","Government of Canada","Northwest Territories","Tungsten","Past producer","On hold / suspended",61.96728,-128.22812,"Not available/Pas disponible",285
"Mines and other primary producing sites","Mary River","Baffinland Iron Mines Corporation","Nunavut","High-purity iron ore","Mine","Active",71.340446,-78.556869,"https://www.baffinland.com/",291
