OperationGroupEN,PropertyNameEN,OperatorOwnersEN,ProvincesEN,CommoditiesEN,DevelopmentStageEN,ActivityStatusEN,Latitude,Longitude,Website,OBJECTID
"Project","Moblan","Sayona Mining Ltd.","Quebec","Lithium (spodumene)","Advanced project","Active",50.73176,-74.91215,"https://sayonamining.com.au/",61
"Project","La Loutre","Lomiko Metals Inc.","Quebec","Graphite","Advanced project","Active",46.03656,-74.99714,"http://www.lomiko.com",62
"Project","Sirmac","Vision Lithium Inc.","Quebec","Lithium (spodumene), tantalum","Advanced project","Active",50.62225,-75.47624,"http://visionlithium.com",63
"Project","Whabouchi","Nemaska Lithium Inc.","Quebec","Lithium (spodumene)","Advanced project","Active",51.67972,-75.85333,"https://www.nemaskalithium.com",64
"Project","Rose","Critical Elements Lithium Corporation","Quebec","Lithium (spodumene), tantalum","Advanced project","Active",52.022485,-76.172,"https://www.cecorp.ca",65
"Project","Galaxy (James Bay Lithium)","Arcadium Lithium PLC","Quebec","Lithium (spodumene)","Advanced project","Active",52.23333,-77.06667,"https://arcadiumlithium.com/",66
"Project","Abcourt-Barvue","Abcourt Mines Inc.","Quebec","Zinc, silver","Advanced project","Active",48.52154,-77.67901,"http://abcourt.com",67
"Project","North American Lithium (NAL) Lithium Carbonate P","Sayona Mining Ltd.","Quebec","Lithium carbonate","Advanced processing project","Active",48.4104,-77.8156,"https://sayonamining.com.au/",68
"Project","Caber Complex (Matagami)","Nuvau Minerals Corp.","Quebec","Zinc, copper, silver, gold","Advanced project","Active",49.773163,-77.936644,"http://nuvauminerals.com",69
"Project","Authier","Sayona Mining Ltd.","Quebec","Lithium (spodumene)","Advanced project","Active",48.36207,-78.19557,"https://sayonamining.com.au/",70
"Project","Dumont Nickel","Magneto Investments Limited Partnership","Quebec","Nickel, cobalt, platinum, palladium, iron ore","Advanced project","Active",48.64667,-78.4425,"https://www.dumontnickel.com/en/",71
"Project","Kipawa-Zeus","Quebec Precious Metals Corporation","Quebec","Rare earth elements, zircon","Advanced project","On hold / suspended",46.81747,-78.4745,"http://www.qpmcorp.ca",72
"Project","Horne 5","Falco Resources Ltd.","Quebec","Gold, copper, zinc, silver","Advanced project","Active",48.25425,-79.00953,"https://www.falcores.com/en/",73
"Project","Ontario Spoke","Li-Cycle Corp","Ontario","Battery materials (black mass)","Battery recycling facility","On hold / suspended",44.233334,-76.5,"https://li-cycle.com/",100
"Project","RapidSX Demonstration Plant","Ucore Rare Metals Inc.","Ontario","Rare earth elements","Demonstration plant","Active",44.233334,-76.5,"https://ucore.com",101
"Project","Bissett Creek","Northern Graphite Corporation","Ontario","Graphite","Advanced project","Active",46.11814,-78.05992,"http://northerngraphite.com",102
"Project","Kearney","G6 Energy Corp.","Ontario","Graphite","Past producer","Active",45.72635,-79.07927,"https://www.gsixenergy.com/",103
"Project","Markham lithium reprocessing facility","Arcadium Lithium PLC","Ontario","Lithium metal","Advanced processing project","Active",43.8331,-79.3415,"https://arcadiumlithium.com/",104
"Project","Battery Materials Park","Electra Battery Materials Corporation","Ontario","Cobalt, nickel, lithium","Advanced processing project","Active",47.40635,-79.62229,"https://electrabmc.com",105
"Project","Upper Beaver","Agnico Eagle Mines Limited","Ontario","Gold, copper","Advanced project","Active",48.16,-79.76,"https://www.agnicoeagle.com",106
"Project","River Valley","New Age Metals Inc.","Ontario","Palladium, platinum, gold, nickel, copper, rhodium, cobalt","Advanced project","Active",46.70591,-80.27606,"https://newagemetals.com",107
"Project","James Bay (Argor)","Niobay Metals Inc.","Ontario","Niobium","Advanced project","On hold / suspended",50.83912,-80.63075,"https://niobaymetals.com",108
"Project","Stobie","Vale S.A. ","Ontario","Nickel, copper, platinum group metals, gold, silver, cobalt, selenium, tellurium","Advanced Project","Active",46.540385,-80.993493,"https://vale.com",109
"Project","Redstone","Jilin Jien Nickel Industry Co., Ltd.","Ontario","Nickel, copper","Advanced project","On hold / suspended",48.31667,-81.16472,"http://www.jlnickel.com.cn",110
"Project","Nickel processing plant","Canada Nickel Company Inc.","Ontario","Nickel","Advanced processing project","Active",48.4759,-81.3348,"https://canadanickel.com/",111
"Project","Stainless Steel and Alloy Processing Facility","Canada Nickel Company Inc.","Ontario","Nickel alloys, chromium alloys, stainless steel","Advanced processing project","Active",48.4759,-81.3348,"https://canadanickel.com/",112
"Project","Crean Hill","Magna Mining Inc.","Ontario","Nickel, copper, cobalt, platinum, palladium, gold","Advanced project","Active",46.42472,-81.36167,"https://magnamining.com",113
"Project","Crawford","Canada Nickel Company Inc.","Ontario","Nickel, iron ore, cobalt, palladium, platinum, chromite","Advanced project","Active",48.83972,-81.37309,"https://canadanickel.com/",114
"Project","Victoria","KGHM Polska Miedź S.A.","Ontario","Nickel, copper, gold, cobalt, platinum, palladium","Advanced project","Active",46.41667,-81.38333,"https://kghm.com/en",115
"Project","Onaping Depth","Glencore Canada Corporation","Ontario","Nickel, copper, cobalt, platinum, palladium, rhodium, gold, silver","Advanced project","Active",46.632019,-81.383878,"https://www.glencore.ca",116
"Project","Shakespeare","Magna Mining Inc.","Ontario","Nickel, copper, palladium, platinum, gold, cobalt","Advanced project","Active",46.33417,-81.85944,"https://magnamining.com",117
"Project","Martison","Fox River Resources Corp.","Ontario","Phosphate, niobium","Advanced project","Active",50.314444,-83.414444,"http://fox-river.ca",118
"Project","Albany","Zentek Ltd.","Ontario","Graphite","Advanced project","Active",50.0293,-84.45181,"https://www.zentek.com",119
"Project","Eagle's Nest","Wyloo Pty Ltd","Ontario","Nickel, copper, gold, platinum, palladium","Advanced project","Active",52.74202,-86.3038,"https://wyloo.com/",120
"Project","Marathon","Generation Mining Limited","Ontario","Palladium, platinum, gold, copper, silver","Advanced project","Active",48.78758,-86.3263,"https://genmining.com",121
"Project","Superior Lake","Frontier Energy Limited","Ontario","Zinc, copper, gold, silver","Advanced project","Active",48.9775,-87.38361,"https://frontierhe.com/about/",122
"Project","Georgia Lake","Rock Tech Lithium Inc.","Ontario","Lithium (spodumene)","Advanced project","Active",49.45236,-88.00298,"https://rocktechlithium.com",123
"Project","Lithium Refinery","Frontier Lithium Inc.","Ontario","Lithium hydroxide, lithium carbonate","Advanced processing project","Active",48.9465,-88.2596,"https://www.frontierlithium.com/",124
"Project","Lithium Hydroxide Refinery","Rock Tech Lithium Inc.","Ontario","Lithium hydroxide","Advanced processing project","Active",48.9465,-88.2596,"https://rocktechlithium.com",125
"Project","Seymour Lake (Root Lake)","Green Technology Metals Limited","Ontario","Lithium (spodumene), tantalum","Advanced Project","Active",50.40987,-88.4491,"https://www.greentm.com.au/",126
"Project","Thunder Bay North","Clean Air Metals Inc.","Ontario","Platinum, palladium, gold, nickel, copper, silver","Advanced project","Active",48.79,-88.931,"https://www.cleanairmetals.ca",127
"Project","Lake Superior plant","Avalon Advanced Materials Inc.","Ontario","Lithium hydroxide","Advanced processing project","Active",48.47357,-89.16099,"https://www.avalonadvancedmaterials.com",128
"Project","Thunder Bay Plant","Green Technology Metals Limited","Ontario","Lithium hydroxide","Advanced processing project","Active",48.4568,-89.1719,"https://www.greentm.com.au/",129
"Project","Thierry","Orecap Invest Corp.","Ontario","Copper, nickel, silver, gold, platinum, palladium","Advanced project","Active",51.49667,-90.34694,"https://orecap.ca/",130
"Project","Raleigh","International Lithium Corporation","Ontario","Lithium (spodumene), rubidium","Advanced project","Active",49.40631,-91.945767,"https://www.internationallithium.ca",131
"Project","PAK","Frontier Lithium Inc.","Ontario","Lithium (spodumene), tantalum, tin, niobium, rubidium, cesium","Advanced project","Active",52.60026,-93.37727,"https://www.frontierlithium.com",132
"Project","Kenbridge","Tartisan Nickel Corp.","Ontario","Nickel, copper, cobalt","Advanced project","Active",49.48357,-93.6347,"http://www.tartisannickel.com",133
"Project","Separation Rapids","Avalon Advanced Materials Inc.","Ontario","Lithium (petalite), tantalum","Advanced project","Active",50.266,-94.58258,"https://www.avalonadvancedmaterials.com",134
"Project","MM (Makwa Mayville)","Grid Metals Corp.","Manitoba","Nickel, copper, gold, platinum, palladium, cobalt","Advanced project","Active",50.6298,-95.60953,"https://gridmetalscorp.com",153
"Project","Minago","Norway House Cree Nation","Manitoba","Nickel, palladium, platinum","Advanced project","Active",54.1092,-99.21912,"https://nhcn.ca/",154
"Project","Tower","Hudbay Minerals Inc.","Manitoba","Gold, zinc, copper, silver","Advanced project","On hold / suspended",53.9623,-99.2284,"https://hudbayminerals.com",155
"Project","Talbot (Snow Lake)","Hudbay Minerals Inc.","Manitoba","Gold, zinc, copper, silver","Advanced project","Active",54.1133,-99.6343,"https://hudbayminerals.com",156
"Project","Thompson Bros (Snow Lake Lithium)","Snow Lake Resources","Manitoba","Lithium (spodumene)","Advanced project","Active",54.800199,-99.74634,"https://snowlakeenergy.com/",157
"Project","Wim","Hudbay Minerals Inc.","Manitoba","Gold, zinc, copper, silver","Advanced project","Active",55.02136,-100.05248,"https://hudbayminerals.com",158
"Project","1901 (Snow Lake)","Hudbay Minerals Inc.","Manitoba","Gold, zinc, copper, silver","Advanced project","Active",54.8557,-100.134,"https://hudbayminerals.com",159
"Project","Pen II (Snow Lake)","Hudbay Minerals Inc.","Manitoba","Gold, zinc, copper, silver","Advanced project","Active",54.857778,-100.205556,"https://hudbayminerals.com",160
"Project","Rail (Snow Lake)","Hudbay Minerals Inc.","Manitoba","Copper, gold, zinc, silver","Advanced project","On hold / suspended",54.7463,-100.5916,"https://hudbayminerals.com",161
"Project","Lynn Lake","Corazon Mining Limited","Manitoba","Nickel, copper, cobalt","Advanced project","Active",56.85217,-101.03486,"https://corazon.com.au",162
"Project","PADCOM Potash Mine","Potash and Agri Development Corporation of Manitoba Ltd. (PADCOM)","Manitoba","Potash","Advanced project","Active",50.735345,-101.483097,"https://manitobapotash.ca",163
"Project","McIlvenna Bay","Foran Mining Corporation","Saskatchewan","Copper, zinc, gold, silver, lead","Advanced project","Active",54.65977,-102.89498,"https://www.foranmining.com",168
"Project","Viewfield / Mansur","EMP Metals Corp","Saskatchewan","Lithium (brine)","Advanced unconventional project","Active",49.66,-103.1,"https://empmetals.com/",169
"Project","Prairie Lithium","Arizona Lithium Ltd.","Saskatchewan","Lithium (brine)","Advanced unconventional project","Active",49.21363,-103.63518,"https://www.arizonalithium.com/",170
"Project","Horseshoe-Raven","Uranium Energy Corp","Saskatchewan","Uranium","Advanced project","Active",58.15333,-103.73639,"https://www.uraniumenergy.com/",171
"Project","Wynyard","Karnalyte Resources Inc.","Saskatchewan","Potash, magnesium","Advanced project","Active",51.69246,-103.931327,"http://karnalyte.com",172
"Project","Muskowekwan","Encanto Potash Corporation","Saskatchewan","Potash","Advanced project","Active",51.33382,-104.01827,"http://www.encantopotash.com",173
"Project","Waterbury","Denison Mines Corp.","Saskatchewan","Uranium","Advanced project","Active",58.3478,-104.03032,"https://denisonmines.com",174
"Project","Roughrider","Uranium Energy Corp","Saskatchewan","Uranium","Advanced project","Active",58.338,-104.037,"https://www.uraniumenergy.com/",175
"Project","Midwest","Orano Canada Inc. / Denison Mines Corp.","Saskatchewan","Uranium","Advanced project","Active",58.30535,-104.08859,"https://denisonmines.com/",176
"Project","Milestone","Western Resources Corp.","Saskatchewan","Potash","Advanced project","Active",50.236669,-104.239825,"https://www.westernresources.com",177
"Project","Southey","Yancoal Canada Resources Co., Ltd.","Saskatchewan","Potash","Advanced project","Active",51.11466,-104.65979,"https://www.yancoal.ca",178
"Project","Jansen","BHP Group Limited","Saskatchewan","Potash","Advanced project","Active",51.8991,-104.71415,"https://www.bhp.com",179
"Project","Wheeler River","Denison Mines Corp.","Saskatchewan","Uranium","Advanced project","Active",57.50888,-105.38137,"https://denisonmines.com",180
"Project","Millennium","Cameco Corporation","Saskatchewan","Uranium","Advanced project","On hold / suspended",57.52045,-105.63442,"https://www.cameco.com/",181
"Project","Vanguard","Gensource Potash Corp.","Saskatchewan","Potash","Advanced project","Active",50.84335,-106.21347,"https://gensourcepotash.ca",182
"Project","Rare Earth Processing Facility","Saskatchewan Research Council (SRC)","Saskatchewan","Rare earth elements","Advanced processing project","Active",52.1400327,-106.62737,"https://www.src.sk.ca",183
"Project","Chaplin Sulphate of Potash Facility","Saskatchewan Mining and Minerals Inc.","Saskatchewan","Potash","Advanced processing project","Active",50.460722,-106.669814,"https://saskatchewanminingandminerals.com/",184
"Project","Rook I","NexGen Energy Ltd.","Saskatchewan","Uranium","Advanced project","Active",57.59144,-108.9925,"https://www.nexgenenergy.ca",185
"Project","Kindersley Lithium","Grounded Lithium Corp.","Saskatchewan","Lithium (brine)","Advanced unconventional project","Active",51.73894139,-109.1912056,"https://groundedlithium.com/",186
"Project","Patterson Lake South","Paladin Energy Limited","Saskatchewan","Uranium","Advanced project","Active",57.639,-109.364,"https://www.paladinenergy.com.au/",187
"Project","Horizon","CVW CleanTech Inc. ","Alberta","Zircon, titanium, rare earth elements","Advanced unconventional project","Active",45.57462,-73.450825,"https://cvwcleantech.com",211
"Project","Fortune Minerals Refinery","Fortune Minerals Limited","Alberta","Cobalt, gold, bismuth, copper","Advanced processing project","Active",53.797615,-112.513502,"https://www.fortuneminerals.com",212
"Project","Bashaw District","E3 Lithium Ltd.","Alberta","Lithium (brine)","Advanced unconventional project","Active",51.77696,-113.93655,"https://www.e3lithium.ca/",213
"Project","Lithium Hydroxide Refinery","E3 Lithium Ltd.","Alberta","Lithium hydroxide","Advanced processing project","Active",51.777,-113.9366,"https://www.e3lithium.ca/",214
"Project","Boardwalk","LithiumBank Resources Corp.","Alberta","Lithium (brine)","Advanced unconventional project","Active",54.946792,-117.163427,"https://www.lithiumbank.ca/",215
"Project","Worsley","First Helium Inc.","Alberta","Helium","Advanced project","Active",56.507923,-119.1341,"https://www.firsthelium.com/",216
"Project","Rainbow Lake","Volt Lithium Corporation","Alberta","Lithium (brine)","Advanced unconventional project","Active",58.50664,-119.30174,"https://voltlithium.com/",217
"Project","Driftwood Creek","MGX Minerals Inc.","British Columbia","Magnesium","Advanced project","Active",50.904,-116.575,"http://mgxminerals.com",222
"Project","Trail EV Battery Recycling Plant","Teck Resources Limited","British Columbia","Battery materials (black mass)","Advanced processing project","Active",49.101,-117.718,"https://www.teck.com/",223
"Project","Record Ridge","West High Yield Resources Ltd.","British Columbia","Magnesium","Advanced project","Active",49.082,-117.884,"http://www.whyresources.com",224
"Project","Revel Ridge","Rokmaster Resources Corp.","British Columbia","Gold, lead, silver, zinc","Advanced project","Active",51.287,-118.121,"https://rokmaster.com",225
"Project","Golden Crown (Greenwood)","Phoenix Copper Company Inc.","British Columbia","Gold, copper","Advanced project","On hold / suspended",49.09,-118.59,"https://phoenixcopperlimited.com/",226
"Project","Blue River","Capacitor Metals Corp.","British Columbia","Tantalum, niobium","Advanced project","Active",52.30233,-119.15624,"Not available/Pas disponible",227
"Project","Yellowhead","Taseko Mines Limited","British Columbia","Copper, gold, silver","Advanced project","Active",51.52,-119.817,"https://www.tasekomines.com",228
"Project","Wapiti","Fertoz Limited","British Columbia","Phosphate","Advanced project","Active",54.35838,-120.43197,"https://fertoz.com/",229
"Project","Ajax","KGHM Polska Miedź S.A.","British Columbia","Copper, gold, silver","Advanced project","On hold / suspended",50.63,-120.46,"https://kghm.com/en",230
"Project","Wicheeda","Defense Metals Corp.","British Columbia","Rare earth elements","Advanced project","Active",54.53141,-122.09912,"https://defensemetals.com",231
"Project","Lithium Refinery","Mangrove Lithium","British Columbia","Lithium hydroxide, lithium carbonate","Advanced processing project","Active",49.16,-122.96,"https://www.mangrovelithium.com/",232
"Project","New Prosperity","Taseko Mines Limited","British Columbia","Gold, copper","Advanced project","On hold / suspended",51.46,-123.62,"https://www.tasekomines.com",233
"Project","Aley","Taseko Mines Limited","British Columbia","Niobium","Advanced project","Active",56.4471,-123.77829,"https://www.tasekomines.com",234
"Project","Akie","ZincX Resources Corp.","British Columbia","Zinc, lead, silver","Advanced project","Active",57.38088,-124.86599,"http://zincxresources.com",235
"Project","Kwanika-Stardust","NorthWest Copper Corp.","British Columbia","Copper, gold, silver","Advanced project","Active",55.415303,-125.271268,"https://northwestcopper.ca",236
"Project","Decar (Baptiste)","FPX Nickel Corp.","British Columbia","Nickel, cobalt","Advanced project","Active",54.894513,-125.359691,"https://fpxnickel.com",237
"Project","Morrison","Pacific Booker Minerals Inc.","British Columbia","Copper, gold, molybdenum","Advanced project","On hold / suspended",55.1944,-126.3158,"https://www.pacificbooker.com",238
"Project","Kemess","Centerra Gold Inc.","British Columbia","Copper, gold, silver","Advanced project","On hold / suspended",57.05037,-126.77117,"https://www.centerragold.com",239
"Project","Ootsa","Surge Copper Corp.","British Columbia","Copper, gold, molybdenum, silver","Advanced project","Active",53.63333,-127.08333,"https://surgecopper.com/",240
"Project","Davidson","Moon River Moly Ltd.","British Columbia","Molybdenum, tungsten","Advanced project","Active",54.82,-127.29861,"https://moonrivermoly.com/",241
"Project","Deer Horn","First Tellurium Corp.","British Columbia","Gold, silver, tellurium, copper, zinc, lead","Advanced project","Active",53.3607,-127.30826,"https://firsttellurium.com",242
"Project","Berg","Surge Copper Corp.","British Columbia","Copper, Molybdenum, Gold, Silver","Advanced project","Active",53.802,-127.431,"https://surgecopper.com/",243
"Project","North Island","Northisle Copper and Gold Inc.","British Columbia","Copper, gold, molybdenum, rhenium","Advanced project","Active",50.67556,-127.85639,"https://www.northisle.ca",244
"Project","Kutcho","Kutcho Copper Corp.","British Columbia","Copper, zinc, silver, gold, lead","Advanced project","Active",58.20996,-128.38736,"https://www.kutcho.ca",245
"Project","Turnagain","Hard Creek Nickel Corp. (Giga Metals Corporation)","British Columbia","Nickel, cobalt, platinum, palladium","Advanced project","Active",58.47856,-128.86282,"https://www.gigametals.com",246
"Project","Avanti Kitsault","New Moly LLC","British Columbia","Molybdenum, silver, lead","Advanced project","Active",55.422,-129.419,"https://newmoly.com/",247
"Project","Kitsault Valley","Dolly Varden Silver Corporation","British Columbia","Gold, silver, copper, lead","Advanced project","Active",55.75361,-129.57778,"https://dollyvardensilver.com",248
"Project","GJ","Newmont Corporation","British Columbia","Copper, gold, silver","Advanced project","Active",57.63,-130.25,"https://newmont.com/",249
"Project","KSM","Seabridge Gold Inc.","British Columbia","Gold, copper, silver, molybdenum","Advanced project","Active",56.46666,-130.33556,"https://seabridgegold.com",250
"Project","Silvertip","Coeur Mining Inc.","British Columbia","Silver, zinc, lead","Advanced project","Active",59.89529,-130.38,"https://www.coeur.com/",251
"Project","Schaft Creek","Teck Resources Limited / Copper Fox Metals Inc.","British Columbia","Copper, molybdenum, gold, silver","Advanced project","Active",57.36667,-131,"https://copperfoxmetals.com/",252
"Project","Iskut","Seabridge Gold Inc.","British Columbia","Gold, copper, silver, iron ore","Advanced project","Active",56.66667,-131.0925,"https://seabridgegold.com",253
"Project","Galore Creek","Newmont Corporation / Teck Resources Limited","British Columbia","Copper, gold, silver","Advanced project","Active",57.13,-131.45,"https://newmont.com/",254
"Project","Selwyn","Selwyn Chihong Mining Ltd.","Yukon","Zinc, lead","Advanced project","On hold / suspended",62.45542,-129.20011,"http://selwynchihong.com",268
"Project","Macpass","Fireweed Metals Corp.","Yukon","Zinc, lead, silver","Advanced project","Active",63.16057,-130.15143,"https://fireweedmetals.com",269
